SCR,Investimento (1) Dec-06,N. Part. Dec-06,Investimento (1) Dec-06,N. Part. Dec-06,Investimento (1) Dec-06,N. Part. Dec-06
Expansao,43827,56,44994,53,55748,50
Outros,28320,14,48732,20,50452,20
Capital de substituicao,14334,16,29620,22,26475,34
Management-buy-out,15409,17,18414,15,18387,17
Start-Up,16016,66,9911,66,12418,65
Turnaround,13771,15,13214,17,2062,13
Early-Stage,5377,8,5692,8,1398,8
Seed Capital,3917,3,0,2,3,4
Refinanciamento da divida bancaria,,,,,,
Management-buy-in,,,,,,
Total,140971,195,170577,203,166943,211