FCR,Investimento (1) Dec-06,N. Part. Dec-06,Investimento (1) Dec-06,N. Part. Dec-06,Investimento (1) Dec-06,N. Part. Dec-06
Expansao,195101,156,193554,159,244763,158
Start-Up,121635,177,152092,190,169943,217
Capital de substituicao,47636,18,52034,17,53066,16
Management-buy-out,38247,31,40344,33,41885,34
Early-Stage,5273,11,12131,18,21492,22
Management-buy-in,2573,4,2855,4,20439,6
Outros,0,1,13232,9,18433,15
Seed Capital,11356,22,11145,18,13756,24
Refinanciamento da divida bancaria,5310,2,6302,2,6127,2
Turnaround,19189,26,7067,17,6044,12
Total,446320,448,490756,467,595948,506