,Inv.(1) (2) SCR ​ ​ ​,Desinv.(1) (3) SCR ​ ​ ​,Inv Liq. (1) (4) SCR ​ ​ ​,Trs(5) SCR ​ ​ ​,Inv.(1) (2) FCR​ ​ ​ ,Desinv.(1) (3) FCR​ ​ ​ ,Inv Liq. (1) (4) FCR​ ​ ​ ,Trs(5) FCR​ ​ ​ ,Inv.(1) (2) Total​ ​ ​,Desinv.(1) (3) Total​ ​ ​,Inv Liq. (1) (4) Total​ ​ ​,Trs(5) Total​ ​ ​
Start-up,2150,70,2080,17,53370,5188,48182,69,55520,5258,50262,86
Expansao,15151,4246,10905,13,72767,37998,34769,59,87918,42244,45674,72
Capital de substituicao,13608,567,13041,20,1670,176,1494,3,15278,743,14535,23
Early-stage,50,6277,-6227,4,16139,0,16139,12,16189,6277,9912,16
Seed capital,1,0,1,1,3152,0,3152,8,3153,0,3153,9
Management-buy-in,,,0,,680,0,680,2,680,0,680,2
Refinanciamento da divida bancaria,,,0,,,,0,,0,0,0,
Management-buy-out,1476,1949,-473,3,1741,4170,-2429,7,3217,6119,-2902,10
Outros,9809,80,9729,10,3503,24560,-21057,6,13312,24640,-11328,16
Turnaround,0,10909,-10909,2,0,27652,-27652,5,0,38561,-38561,7
Total,42245,24098,18147,70,153022,99744,53278,171,195267,123842,71425,241