,Montante (1) Valorizacao,% Valorizacao,N. Part.,% N. Participacoes
Fluxos de caixa descontados (DCF),191659,32.16%,299,59.09%
Fluxos de caixa descontados (DCF + factor de desconto),77841,13.06%,41,8.10%
Valor de aquisicao,114150,19.15%,101,19.96%
Preco de mercado,60530,10.16%,29,5.73%
Preco de mercado(com aplicacao do factor de desconto),,0.00%,,0.00%
Multiplos,82030,13.76%,22,4.35%
Multiplos (com aplicacao do factor de desconto),46667,7.83%,3,0.59%
Transaccoes relevantes,20727,3.48%,9,1.78%
Transaccoes relevantes (com aplicacao do factor de desconto),2343,0.39%,1,0.20%
OutrosÂ (2),,0.00%,1,0.20%
NAV,,0.00%,,0.00%
Total,595947,100.00%,506,100.00%