SCR,N. de contratos,Valorizacao em carteira(1)
Avaliacao a realizar na data de exercicio,42,191
Valor de mercado na data de exercicio,9,0
Capitalizacao do valor de aquisicao (indexado a Euribor),7,1065
Preco pre-fixado,6,0
Contrato (define formula de calculo),5,-262
"Indexado a performance da empresa, com minimo e maximo definidos.",7,0
Indexado a performance da empresa,3,-91
Valorizacao anual fixa,2,-2987
Nao identificado,1,0
Valor de aquisicao,,
Indexado aos subsidios recebidos,,
Total,82,-2084