FCR,N. de contratos,Valorizacao em carteira (1)
Avaliacao a realizar na data de exercicio,119,2085
Contrato (define formula de calculo),54,1441
Preco pre-fixado,30,9373
Capitalizacao do valor de aquisicao (indexado a Eurico),18,1181
Valor de mercado na data de exercicio,13,0
"Indexado a performance da empresa, Com minimo e maximo definidos",8,0
Nao identificado,4,0
Indexado a performance da empresa,3,27
Valorizacao anual fixa,2,-5986
Valor de aquisicao,1,0
Indexado aos subsidios recebidos,1,0
Total,253,8121