Entidade Gestora,Quota Mercado SCR(2),N. Fundos sob Gestao,Quota Mercado FCR por EG (3),Valores geridos por EG (1) (4),Quota Mercado por EG,Correccao SCR
"Caixa Capital – SCR, SA",0.00,3,0.00,272703,17.88%,"272,703.00"
"Explorer Investments – SCR, SA",0.00,2,0.00,261456,17.14%,"261,456.00"
"Espirito Santo Capital – SCR, SA",0.00,4,0.00,180972,11.86%,"180,972.00"
"AICEP Capital Global – SCR, SA",0.00,4,0.00,152030,9.97%,"152,030.00"
"InovCapital – SCR, SA",0.00,9,0.00,147845,9.69%,"147,845.00"
"ECS – SCR, SA",0.00,1,0.00,89302,5.85%,"89,302.00"
"Espirito Santo Ventures – SCR, SA",0.00,1,0.00,83662,5.48%,"83,662.00"
"BPN Gestao de Activos – SGFIM, SA",0.00,1,0.00,52304,3.43%,"52,304.00"
"F. Turismo – Capital de Risco, SA",0.00,1,0.00,50645,3.32%,"50,645.00"
"InterRisco – SCR, SA",0.00,2,0.00,45713,3.00%,"45,713.00"
"BCP Capital – SCR, SA",0.00,1,0.00,36465,2.39%,"36,465.00"
"Banco Efisa, SA",0.00,1,0.00,30980,2.03%,"30,980.00"
"Change Partners – SCR, SA",0.00,2,0.00,26686,1.75%,"26,686.00"
"Agrocapital – SCR, SA",0.00,1,0.00,15595,1.02%,"15,595.00"
"Banif Capital – SCR, SA",0.00,4,0.00,15196,1.00%,"15,196.00"
"Patris Capital – SCR, SA",0.00,-,,15049,0.99%,"15,049.00"
"BIG Capital – SCR, SA",0.00,1,0.00,14332,0.94%,"14,332.00"
"Novabase Capital – SCR, SA",0.00,1,0.00,9370,0.61%,"9,370.00"
"Caixa Central de Credito Agricola Mutuo, CRL",0.00,1,0.00,7846,0.51%,"7,846.00"
"ISQ – SCR, SA",0.00,1,0.00,7302,0.48%,"7,302.00"
"Beta – SCR, SA",0.00,1,0.00,5500,0.36%,"5,500.00"
"Drive – SCR, SA",0.00,,,1894,0.12%,"1,894.00"
"Enotum Capital – SCR, SA",0.00,,,992,0.07%,992.00
"Naves, SCR, SA",0.00,,,900,0.06%,900.00
"Centro Venture – SCR, SA",0.00,,,513,0.03%,513.00
"SGPME – SCR, SA",0.00,,,118,0.01%,118.00
Total,0.00,42,0.00,1525370,100.00%,
,0.00,,,,,