FCR,N. de investimentos,VLGF (1) (2),% VLGF,% Investimentos
Participacoes,326,408285,31.93%,68.51%
Participacoes cotadas,2,40534,3.17%,6.80%
Participacoes nao cotadas,324,367751,28.76%,61.71%
Outros financiamentos,180,187663,14.67%,31.49%
Prestacoes suplementares,26,27682,2.16%,4.65%
Prestacoes acessorias,12,39976,3.13%,6.71%
Suprimentos,136,116935,9.14%,19.62%
Emprestimos titulados,,,,
Emprestimos nao titulados,6,3070,0.24%,0.52%
Investimentos em UP de FCR,,,,
Sub Total,506,595948,46.60%,100.00%
Depositos e outros Meios Liq.,,183781,14.37%,
Outros Activos afectos a capital de risco,,,,
Sub Total,,779729,14.37%,
Capital subscrito e nao realizado,,471628,36.88%,
Outros,,27500,2.15%,
Total,,1278857,100.00%,